3/31/02,Shell Houston Open,4000000,266,-22,Vijay Singh,,720000,TPC Woodlands, The Woodlands, TX ,,72,7018,,
4/22/01,Shell Houston Open,3400000,278,-10,Hal Sutton,,612000,TPC Woodlands, The Woodlands, TX ,,72,7018,,
4/30/00,Shell Houston Open,2800000,275,-13,Robert Allenby ,p,504000,TPC Woodlands, The Woodlands, TX ,,72,7018,,
5/2/99,Shell Houston Open,2500000,279,-9,Stuart Appleby,,450000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
5/3/98,Shell Houston Open,2000000,276,-12,David Duval,,360000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
5/4/97,Shell Houston Open,1600000,276,-12,Phil Blackmar ,p,288000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
5/5/96,Shell Houston Open,1500000,274,-14,Mark Brooks ,p,270000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
4/30/95,Shell Houston Open,1400000,276,-12,Payne Stewart ,p,252000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
5/1/94,Shell Houston Open,1300000,272,-16,Mike Heinen,,234000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
5/2/93,Shell Houston Open,1300000,199,-17,Jim McGovern ,p,234000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
5/3/92,Shell Houston Open,1200000,272,-16,Fred Funk,,216000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
10/27/91,Independent Insurance Agent Open,800000,273,-15,Fulton Allem,,144000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
4/1/90,Independent Insurance Agent Open,1000000,204,-12,Tony Sills ,p,180000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
4/2/89,Independent Insurance Agent Open,800000,280,-8,Mike Sullivan,,144000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
5/1/88,Independent Insurance Agent Open,700000,270,-18,Curtis Strange ,p,126000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
4/26/87,"Big ""I"" Houston Open",600000,276,-12,Jay Haas ,p,108000,TPC Woodlands, The Woodlands, TX ,,72,7042,,
