,"year","rank","player_name","rounds","three_putt_percent","total_3_putts","total_holes"
100,1992,"
        T98","
David Peoples
",99,3,53,1764
101,1992,"
        102","
Brad Fabel
",94,3.01,51,1692
102,1992,"
        T103","
Billy Mayfair
",114,3.02,62,2052
103,1992,"
        T103","
Tom Purtzer
",82,3.02,44,1458
104,1992,"
        T105","
Brian Claar
",99,3.03,54,1782
105,1992,"
        T105","
Jim McGovern
",101,3.03,55,1818
106,1992,"
        107","
Greg Kraft
",81,3.09,45,1458
107,1992,"
        108","
Dicky Thompson
",70,3.1,39,1260
108,1992,"
        T109","
Mitch Adcock
",75,3.11,42,1350
109,1992,"
        T109","
Fred Couples
",84,3.11,47,1512
110,1992,"
        T111","
Blaine McCallister
",96,3.13,54,1728
111,1992,"
        T111","
Mike Sullivan
",80,3.13,45,1440
112,1992,"
        T113","
Bob Friend
",97,3.15,55,1746
113,1992,"
        T113","
Steve Hart
",90,3.15,51,1620
114,1992,"
        T115","
Lon Hinkle
",58,3.16,33,1044
115,1992,"
        T115","
Bruce Zabriski
",80,3.16,45,1422
116,1992,"
        T117","
Fulton Allem
",99,3.17,56,1764
117,1992,"
        T117","
Mike Reid
",77,3.17,44,1386
118,1992,"
        T117","
John Ross
",86,3.17,49,1548
119,1992,"
        T117","
Joey Sindelar
",107,3.17,61,1926
120,1992,"
        T121","
Dudley Hart
",95,3.19,54,1692
121,1992,"
        T121","
Mark McCumber
",81,3.19,46,1440
122,1992,"
        T121","
Fran Quinn
",61,3.19,35,1098
123,1992,"
        T124","
Dave Barr
",92,3.2,53,1656
124,1992,"
        T124","
Jon Chaffee
",66,3.2,38,1188
125,1992,"
        126","
Ed Humenik
",100,3.25,58,1782
126,1992,"
        127","
Neal Lancaster
",115,3.27,67,2052
127,1992,"
        128","
Donnie Hammond
",66,3.28,39,1188
128,1992,"
        129","
Jerry Haas
",59,3.3,35,1062
129,1992,"
        T130","
Bill Britton
",84,3.35,50,1494
130,1992,"
        T130","
Kenny Perry
",83,3.35,50,1494
131,1992,"
        T132","
Bill Glasson
",53,3.42,32,936
132,1992,"
        T132","
Dillard Pruitt
",91,3.42,56,1638
133,1992,"
        134","
John Mahaffey
",76,3.44,47,1368
134,1992,"
        135","
Keith Clearwater
",107,3.46,66,1908
135,1992,"
        136","
John Daly
",78,3.49,49,1404
136,1992,"
        137","
Joel Edwards
",54,3.5,34,972
137,1992,"
        138","
Steve Lamontagne
",88,3.54,56,1584
138,1992,"
        T139","
Hubert Green
",50,3.56,32,900
139,1992,"
        T139","
Gene Sauers
",78,3.56,50,1404
140,1992,"
        141","
Kim Young
",67,3.57,43,1206
141,1992,"
        T142","
Gary Hallberg
",87,3.58,56,1566
142,1992,"
        T142","
Tom Kite
",91,3.58,58,1620
143,1992,"
        144","
Larry Silveira
",54,3.6,35,972
144,1992,"
        145","
Phil Blackmar
",80,3.61,52,1440
145,1992,"
        T146","
Jeff Maggert
",89,3.62,58,1602
146,1992,"
        T146","
Kirk Triplett
",69,3.62,45,1242
147,1992,"
        T146","
Tray Tyner
",67,3.62,43,1188
148,1992,"
        149","
E.J. Pfister
",58,3.64,38,1044
149,1992,"
        150","
J.P. Hayes
",73,3.65,48,1314
150,1992,"
        151","
Mark Carnevale
",83,3.68,55,1494
151,1992,"
        T152","
Emlyn Aubrey
",72,3.7,48,1296
152,1992,"
        T152","
Dan Pohl
",60,3.7,40,1080
153,1992,"
        154","
Brandel Chamblee
",85,3.79,58,1530
154,1992,"
        155","
Mark Calcavecchia
",96,3.8,65,1710
155,1992,"
        156","
Scott Hoch
",59,3.86,41,1062
156,1992,"
        T157","
Robert Gamez
",79,3.87,55,1422
157,1992,"
        T157","
Jim Thorpe
",56,3.87,39,1008
158,1992,"
        159","
Michael Cunning
",82,3.93,58,1476
159,1992,"
        160","
Leonard Thompson
",69,3.95,49,1242
160,1992,"
        161","
Sonny Skinner
",73,3.96,52,1314
161,1992,"
        162","
David Canipe
",78,3.97,55,1386
162,1992,"
        163","
Fred Funk
",109,3.98,78,1962
163,1992,"
        164","
John Adams
",93,3.99,66,1656
164,1992,"
        165","
P.H. Horgan III
",75,4,54,1350
165,1992,"
        166","
Tony Sills
",66,4.04,48,1188
166,1992,"
        167","
Doug Martin
",85,4.05,62,1530
167,1992,"
        168","
Brad Bell
",54,4.12,40,972
168,1992,"
        169","
Robin Freeman
",84,4.15,62,1494
169,1992,"
        T170","
Jim Hallet
",112,4.17,84,2016
170,1992,"
        T170","
David Ogrin
",80,4.17,60,1440
171,1992,"
        172","
John Riegger
",71,4.29,54,1260
172,1992,"
        173","
Dave Schreyer
",53,4.3,41,954
173,1992,"
        174","
Tom Byrum
",76,4.31,59,1368
174,1992,"
        175","
Greg Whisman
",78,4.34,61,1404
175,1992,"
        T176","
Dan Halldorson
",86,4.39,68,1548
176,1992,"
        T176","
Hal Sutton
",76,4.39,60,1368
177,1992,"
        178","
Carl Cooper
",76,4.46,61,1368
178,1992,"
        179","
Kelly Gibson
",93,4.48,75,1674
179,1992,"
        180","
Tim Simpson
",69,4.59,57,1242
180,1992,"
        181","
Chris Tucker
",83,4.81,71,1476
181,1992,"
        182","
Dave Peege
",69,4.83,60,1242
182,1992,"
        183","
John Elliott
",58,4.87,50,1026
183,1993,"
        1","
Ben Crenshaw
",71,1.51,19,1260
184,1993,"
        2","
Greg Norman
",54,1.54,15,972
185,1993,"
        3","
Gil Morgan
",86,1.57,24,1530
186,1993,"
        4","
Larry Mize
",76,1.61,22,1368
187,1993,"
        5","
Scott Simpson
",78,1.85,26,1404
188,1993,"
        6","
Curtis Strange
",79,1.9,27,1422
189,1993,"
        7","
John Cook
",85,1.98,30,1512
190,1993,"
        8","
Paul Azinger
",81,2.01,29,1440
191,1993,"
        9","
Richard Zokol
",74,2.13,28,1314
192,1993,"
        10","
Donnie Hammond
",83,2.14,32,1494
193,1993,"
        11","
Rick Fehr
",98,2.18,38,1746
194,1993,"
        12","
Hale Irwin
",67,2.24,27,1206
195,1993,"
        T13","
Brad Faxon
",85,2.25,34,1512
196,1993,"
        T13","
Payne Stewart
",94,2.25,38,1692
197,1993,"
        T15","
John Huston
",112,2.3,46,1998
198,1993,"
        T15","
Tom Lehman
",95,2.3,39,1692
199,1993,"
        17","
Phil Blackmar
",89,2.31,37,1602
200,1993,"
        18","
Nick Price
",69,2.33,29,1242
201,1993,"
        19","
Jay Don Blake
",79,2.35,33,1404
202,1993,"
        20","
Loren Roberts
",95,2.4,41,1710
203,1993,"
        21","
Corey Pavin
",91,2.44,40,1638
204,1993,"
        22","
Bob Lohr
",85,2.45,37,1512
205,1993,"
        23","
Peter Jacobsen
",79,2.46,35,1422
206,1993,"
        24","
D.A. Weibring
",75,2.48,33,1332
207,1993,"
        25","
Roger Maltbie
",59,2.49,26,1044
208,1993,"
        26","
Ted Schulz
",95,2.51,43,1710
209,1993,"
        T27","
Steve Lowery
",109,2.52,49,1944
210,1993,"
        T27","
Jeff Sluman
",97,2.52,44,1746
211,1993,"
        T29","
John Adams
",92,2.54,42,1656
212,1993,"
        T29","
Russ Cochran
",95,2.54,43,1692
213,1993,"
        T31","
Bobby Clampett
",54,2.57,25,972
214,1993,"
        T31","
Bob Tway
",68,2.57,31,1206
215,1993,"
        T33","
John Inman
",98,2.58,45,1746
216,1993,"
        T33","
Davis Love III
",100,2.58,46,1782
217,1993,"
        T33","
Joey Sindelar
",71,2.58,33,1278
218,1993,"
        36","
Bill Britton
",89,2.59,41,1584
219,1993,"
        37","
Jim Woodward
",51,2.61,24,918
220,1993,"
        T38","
Dan Forsman
",87,2.62,41,1566
221,1993,"
        T38","
Bill Murchison
",54,2.62,25,954
222,1993,"
        40","
Lance Ten Broeck
",97,2.63,46,1746
223,1993,"
        T41","
Brian Claar
",108,2.65,51,1926
224,1993,"
        T41","
Steve Elkington
",88,2.65,42,1584
225,1993,"
        43","
Craig Parry
",73,2.66,35,1314
226,1993,"
        44","
Hubert Green
",54,2.67,26,972
227,1993,"
        45","
Rick Dalpos
",70,2.7,34,1260
228,1993,"
        46","
Jim McGovern
",118,2.71,57,2106
229,1993,"
        T47","
Fred Couples
",71,2.74,35,1278
230,1993,"
        T47","
Mike Springer
",82,2.74,40,1458
231,1993,"
        49","
Jay Haas
",111,2.75,55,1998
232,1993,"
        T50","
Chip Beck
",88,2.78,44,1584
233,1993,"
        T50","
Mike Smith
",90,2.78,45,1620
234,1993,"
        T50","
Tom Watson
",56,2.78,28,1008
235,1993,"
        T50","
Jeff Woodland
",79,2.78,39,1404
236,1993,"
        54","
Craig Stadler
",80,2.81,40,1422
237,1993,"
        T55","
David Frost
",73,2.82,37,1314
238,1993,"
        T55","
Bobby Wadkins
",65,2.82,33,1170
239,1993,"
        57","
Mark Wiebe
",90,2.84,46,1620
240,1993,"
        58","
Bill Glasson
",77,2.85,39,1368
241,1993,"
        59","
Morris Hatalsky
",60,2.87,31,1080
242,1993,"
        60","
Willie Wood
",78,2.89,40,1386
243,1993,"
        61","
Steve Pate
",89,2.9,46,1584
244,1993,"
        62","
Patrick Burke
",57,2.92,30,1026
245,1993,"
        T63","
Tom Kite
",68,2.94,36,1224
246,1993,"
        T63","
Lanny Wadkins
",70,2.94,37,1260
247,1993,"
        65","
Robert Wrenn
",81,2.95,43,1458
248,1993,"
        66","
Greg Cesario
",62,2.96,33,1116
249,1993,"
        T67","
Billy Kratzert
",52,2.99,28,936
250,1993,"
        T67","
Howard Twitty
",92,2.99,49,1638
251,1993,"
        69","
Greg Kraft
",72,3.01,39,1296
252,1993,"
        70","
Billy Andrade
",92,3.02,50,1656
253,1993,"
        T71","
David Edwards
",78,3.03,42,1386
254,1993,"
        T71","
Bruce Fleisher
",89,3.03,48,1584
255,1993,"
        T73","
Mark Brooks
",95,3.04,52,1710
256,1993,"
        T73","
Bob Estes
",98,3.04,53,1746
257,1993,"
        T73","
Ed Fiori
",95,3.04,52,1710
258,1993,"
        76","
Bob Gilder
",78,3.06,43,1404
259,1993,"
        77","
John Mahaffey
",73,3.09,40,1296
260,1993,"
        T78","
Tom Byrum
",76,3.11,42,1350
261,1993,"
        T78","
Dudley Hart
",91,3.11,51,1638
262,1993,"
        T78","
Lee Janzen
",93,3.11,52,1674
263,1993,"
        T78","
Wayne Levi
",76,3.11,42,1350
264,1993,"
        82","
Joel Edwards
",90,3.12,50,1602
265,1993,"
        T83","
Brad Bryant
",101,3.14,57,1818
266,1993,"
        T83","
Tim Conley
",63,3.14,35,1116
267,1993,"
        T85","
Lee Porter
",51,3.16,29,918
268,1993,"
        T85","
Dave Rummells
",79,3.16,45,1422
269,1993,"
        T85","
Duffy Waldorf
",80,3.16,45,1422
270,1993,"
        T88","
Dick Mast
",87,3.17,49,1548
271,1993,"
        T88","
Kenny Perry
",91,3.17,52,1638
272,1993,"
        T88","
Mike Standly
",93,3.17,53,1674
273,1993,"
        91","
Jim Gallagher Jr.
",89,3.18,51,1602
274,1993,"
        92","
Massy Kuramoto
",61,3.19,35,1098
275,1993,"
        93","
Scott Hoch
",93,3.2,53,1656
276,1993,"
        94","
Larry Nelson
",55,3.23,32,990
277,1993,"
        95","
Phil Mickelson
",73,3.24,42,1296
278,1993,"
        T96","
Jay Delsing
",100,3.25,58,1782
279,1993,"
        T96","
Trevor Dodds
",82,3.25,48,1476
280,1993,"
        T96","
Mark McCumber
",78,3.25,45,1386
281,1993,"
        T99","
Mark Calcavecchia
",95,3.27,56,1710
282,1993,"
        T99","
Jaime Gomez
",85,3.27,50,1530
283,1993,"
        T101","
Mike Hulbert
",100,3.28,59,1800
284,1993,"
        T101","
Len Mattiace
",78,3.28,46,1404
285,1993,"
        T103","
Ken Green
",60,3.3,35,1062
286,1993,"
        T103","
Skip Kendall
",96,3.3,57,1728
287,1993,"
        T103","
Larry Rinker
",74,3.3,44,1332
288,1993,"
        106","
Wayne Grady
",52,3.31,31,936
289,1993,"
        T107","
Ronnie Black
",88,3.32,52,1566
290,1993,"
        T107","
Harry Taylor
",88,3.32,52,1566
291,1993,"
        T109","
Fred Funk
",115,3.33,69,2070
292,1993,"
        T109","
Mark Lye
",65,3.33,39,1170
293,1993,"
        T109","
Perry Moss
",86,3.33,51,1530
294,1993,"
        T112","
Michael Allen
",84,3.35,50,1494
295,1993,"
        T112","
Nolan Henke
",93,3.35,56,1674
296,1993,"
        114","
Scott Gump
",92,3.36,55,1638
297,1993,"
        T115","
Andy Bean
",61,3.37,37,1098
298,1993,"
        T115","
Brett Ogle
",56,3.37,34,1008
299,1993,"
        T117","
Mike Donald
",92,3.38,56,1656
300,1993,"
        T117","
John Flannery
",103,3.38,62,1836
301,1993,"
        T117","
Andrew Magee
",74,3.38,45,1332
302,1993,"
        120","
Jodie Mudd
",59,3.39,36,1062
303,1993,"
        T121","
Peter Persons
",90,3.4,55,1620
304,1993,"
        T121","
Hal Sutton
",85,3.4,52,1530
305,1993,"
        123","
Denis Watson
",62,3.41,38,1116
306,1993,"
        T124","
Paul Goydos
",95,3.43,58,1692
307,1993,"
        T124","
Brian Henninger
",90,3.43,55,1602
308,1993,"
        126","
Michael Bradley
",79,3.45,49,1422
309,1993,"
        T127","
Ian Baker-Finch
",61,3.46,38,1098
310,1993,"
        T127","
Gary Hallberg
",91,3.46,56,1620
311,1993,"
        T127","
Brian Kamm
",86,3.46,53,1530
312,1993,"
        130","
Tommy Armour III
",56,3.47,35,1008
313,1993,"
        T131","
Dave Barr
",94,3.49,59,1692
314,1993,"
        T131","
Steve Lamontagne
",98,3.49,61,1746
315,1993,"
        T133","
Gene Jones
",57,3.51,36,1026
316,1993,"
        T133","
Tom Sieckmann
",96,3.51,60,1710
317,1993,"
        135","
Ed Dougherty
",111,3.54,70,1980
318,1993,"
        T136","
Brandel Chamblee
",83,3.55,53,1494
319,1993,"
        T136","
Dillard Pruitt
",86,3.55,55,1548
320,1993,"
        T136","
Gene Sauers
",95,3.55,60,1692
321,1993,"
        139","
Greg Twiggs
",89,3.56,57,1602
322,1993,"
        T140","
Russell Beiersdorf
",100,3.59,64,1782
323,1993,"
        T140","
Dennis Trixler
",82,3.59,53,1476
324,1993,"
        142","
Lennie Clements
",80,3.61,52,1440
325,1993,"
        T143","
Robin Freeman
",86,3.62,56,1548
326,1993,"
        T143","
Billy Mayfair
",110,3.62,71,1962
327,1993,"
        145","
Kelly Gibson
",102,3.63,66,1818
328,1993,"
        T146","
Ed Humenik
",93,3.64,61,1674
329,1993,"
        T146","
Rocco Mediate
",87,3.64,57,1566
330,1993,"
        148","
Bruce Lietzke
",50,3.67,33,900
331,1993,"
        149","
Fulton Allem
",90,3.7,60,1620
332,1993,"
        T150","
Keith Clearwater
",104,3.72,69,1854
333,1993,"
        T150","
Neal Lancaster
",100,3.72,67,1800
334,1993,"
        T152","
Mark O'Meara
",86,3.73,57,1530
335,1993,"
        T152","
Fuzzy Zoeller
",71,3.73,47,1260
