,"year","rank","player_name","rounds","putting_avg","gir_putts","greens_hit","birdie_conversion"
86,1986,"
        T85","
Buddy Gardner
",104,1.809,2133,1179,2.72
87,1986,"
        T85","
Denis Watson
",60,1.809,1196,661,2.47
88,1986,"
        T89","
John Mahaffey
",90,1.81,2111,1166,2.52
89,1986,"
        T89","
Mike McCullough
",84,1.81,1754,969,2.75
90,1986,"
        T89","
Dave Rummells
",91,1.81,1837,1015,2.65
91,1986,"
        T92","
Wayne Grady
",84,1.811,1733,957,2.5
92,1986,"
        T92","
Donnie Hammond
",71,1.811,1563,863,3
93,1986,"
        T92","
Bill Israelson
",95,1.811,1921,1061,2.45
94,1986,"
        T92","
Gary McCord
",60,1.811,1143,631,2.76
95,1986,"
        T96","
Bob Murphy
",74,1.812,1515,836,2.64
96,1986,"
        T96","
Chris Perry
",106,1.812,2252,1243,2.48
97,1986,"
        T96","
Mike Reid
",81,1.812,1799,993,2.57
98,1986,"
        T96","
Tom Sieckmann
",92,1.812,1823,1006,2.54
99,1986,"
        T100","
Mark Brooks
",92,1.813,1860,1026,2.39
100,1986,"
        T100","
T.C. Chen
",61,1.813,1298,716,2.67
101,1986,"
        T100","
David Edwards
",69,1.813,1465,808,2.34
102,1986,"
        103","
Dan Halldorson
",73,1.814,1518,837,2.65
103,1986,"
        T104","
Woody Blackburn
",68,1.815,1220,672,2.56
104,1986,"
        T104","
Lennie Clements
",83,1.815,1770,975,2.55
105,1986,"
        T104","
Billy Kratzert
",83,1.815,1644,906,2.51
106,1986,"
        T107","
Brian Claar
",82,1.816,1707,940,2.61
107,1986,"
        T107","
Frank Conner
",96,1.816,1829,1007,2.61
108,1986,"
        T107","
Andy North
",65,1.816,1344,740,2.69
109,1986,"
        T107","
Robert Wrenn
",89,1.816,1805,994,2.24
110,1986,"
        111","
Jim Dent
",75,1.817,1583,871,2.41
111,1986,"
        112","
Jim Gallagher Jr.
",103,1.819,1999,1099,2.52
112,1986,"
        113","
Russ Cochran
",95,1.82,1982,1089,2.25
113,1986,"
        114","
Loren Roberts
",97,1.821,1996,1096,2.2
114,1986,"
        T115","
Peter Jacobsen
",77,1.822,1627,893,2.53
115,1986,"
        T115","
Jeff Lewis
",70,1.822,1385,760,2.82
116,1986,"
        T115","
David Lundstrom
",69,1.822,1292,709,2.61
117,1986,"
        T115","
Blaine McCallister
",96,1.822,2026,1112,2.6
118,1986,"
        119","
Andrew Magee
",95,1.823,1992,1093,2.42
119,1986,"
        T120","
Brad Faxon
",96,1.824,1789,981,2.52
120,1986,"
        T120","
Mark McCumber
",87,1.824,1923,1054,2.58
121,1986,"
        T120","
Larry Nelson
",68,1.824,1468,805,2.62
122,1986,"
        T120","
Dennis Trixler
",74,1.824,1359,745,2.52
123,1986,"
        T124","
Bill Glasson
",91,1.825,1949,1068,2.6
124,1986,"
        T124","
Peter Oosterhuis
",54,1.825,1082,593,2.61
125,1986,"
        T124","
J.C. Snead
",95,1.825,1953,1070,2.45
126,1986,"
        127","
Mark Lye
",86,1.826,1852,1014,2.67
127,1986,"
        128","
Gene Sauers
",116,1.827,2406,1317,2.6
128,1986,"
        T129","
John Adams
",85,1.828,1782,975,2.29
129,1986,"
        T129","
Antonio Cerda
",86,1.828,1671,914,2.36
130,1986,"
        T129","
Mac O'Grady
",75,1.828,1660,908,3.04
131,1986,"
        T132","
Andy Dillard
",71,1.83,1356,741,2.4
132,1986,"
        T132","
Steve Pate
",108,1.83,2386,1304,2.58
133,1986,"
        T134","
Tom Byrum
",91,1.831,1882,1028,2.44
134,1986,"
        T134","
Hale Irwin
",74,1.831,1558,851,2.47
135,1986,"
        T134","
Greg Ladehoff
",84,1.831,1551,847,2.3
136,1986,"
        T134","
Bill Rogers
",56,1.831,1135,620,2.4
137,1986,"
        138","
Mark Pfeil
",77,1.833,1584,864,2.25
138,1986,"
        139","
Mike Smith
",73,1.834,1458,795,2.4
139,1986,"
        T140","
Rick Dalpos
",81,1.835,1622,884,2.4
140,1986,"
        T140","
Tom Pernice Jr.
",87,1.835,1807,985,2.74
141,1986,"
        T140","
Richard Zokol
",81,1.835,1650,899,2.21
142,1986,"
        143","
Keith Fergus
",79,1.836,1702,927,2.43
143,1986,"
        T144","
Fred Couples
",81,1.837,1784,971,2.78
144,1986,"
        T144","
Dave Eichelberger
",66,1.837,1400,762,2.22
145,1986,"
        T144","
Pat Lindsey
",88,1.837,1705,928,2.14
146,1986,"
        T147","
Dave Barr
",84,1.838,1831,996,2.6
147,1986,"
        T147","
Greg Twiggs
",60,1.838,1226,667,2.5
148,1986,"
        T147","
Brett Upper
",99,1.838,2060,1121,2.39
149,1986,"
        T150","
Ernie Gonzalez
",67,1.839,1337,727,2.5
150,1986,"
        T150","
Mike West
",73,1.839,1333,725,2.22
151,1986,"
        152","
Harry Taylor
",61,1.84,1198,651,2.4
152,1986,"
        T153","
Ken Green
",87,1.841,1863,1012,2.67
153,1986,"
        T153","
Leonard Thompson
",93,1.841,1950,1059,2.36
154,1986,"
        T155","
Barry Jaeckel
",95,1.843,1989,1079,2.56
155,1986,"
        T155","
Tommy Valentine
",51,1.843,925,502,2.29
156,1986,"
        157","
Steve Bowman
",51,1.844,970,526,2.02
157,1986,"
        T158","
Jay Delsing
",87,1.845,1749,948,2.66
158,1986,"
        T158","
Ron Streck
",66,1.845,1334,723,2.39
159,1986,"
        160","
Gary Hallberg
",96,1.846,1962,1063,2.82
160,1986,"
        161","
Mike Miles
",55,1.847,1014,549,2.39
161,1986,"
        162","
Joe Inman
",76,1.849,1640,887,2.13
162,1986,"
        T163","
Lou Graham
",77,1.85,1484,802,2.28
163,1986,"
        T163","
Tim Norris
",99,1.85,2066,1117,2.21
164,1986,"
        165","
Trevor Dodds
",56,1.853,1145,618,2.17
165,1986,"
        166","
Adrian Stills
",57,1.855,1226,661,2.24
166,1986,"
        T167","
Mike Nicolette
",61,1.86,1231,662,2.21
167,1986,"
        T167","
David Peoples
",85,1.86,1722,926,2.28
168,1986,"
        T169","
Doug Johnson
",65,1.861,1109,596,2.35
169,1986,"
        T169","
Rocco Mediate
",63,1.861,1234,663,2.2
170,1986,"
        T171","
Danny Briggs
",72,1.867,1419,760,2.04
171,1986,"
        T171","
John McComish
",63,1.867,1279,685,2.45
172,1986,"
        T171","
Eduardo Romero
",74,1.867,1535,822,2.25
173,1986,"
        174","
Rick Cramer
",69,1.878,1326,706,2
174,1986,"
        T175","
Tom Gleeton
",70,1.882,1291,686,2.45
175,1986,"
        T175","
Brian Mogg
",73,1.882,1464,778,2.13
176,1986,"
        177","
Denny Hepler
",59,1.892,1116,590,2.08
177,1986,"
        178","
Stu Ingraham
",68,1.931,1371,710,2.03
178,1987,"
        1","
Ben Crenshaw
",83,1.743,1776,1019,3.13
179,1987,"
        T2","
Ken Brown
",63,1.746,1327,760,3.03
180,1987,"
        T2","
Don Pooley
",92,1.746,1921,1100,2.96
181,1987,"
        T4","
Morris Hatalsky
",78,1.748,1472,842,3.09
182,1987,"
        T4","
Lanny Wadkins
",84,1.748,1804,1032,3.1
183,1987,"
        6","
Larry Mize
",80,1.755,1704,971,2.97
184,1987,"
        7","
David Frost
",98,1.757,2107,1199,3.02
185,1987,"
        T8","
Tom Kite
",90,1.761,1932,1097,3.06
186,1987,"
        T8","
Payne Stewart
",97,1.761,2034,1155,3.18
187,1987,"
        T10","
Greg Norman
",67,1.762,1431,812,3
188,1987,"
        T10","
Denis Watson
",94,1.762,1979,1123,3.13
189,1987,"
        T12","
Scott Hoch
",97,1.763,2128,1207,2.83
190,1987,"
        T12","
Chris Perry
",100,1.763,2073,1176,2.85
191,1987,"
        14","
Rex Caldwell
",63,1.764,1219,691,3.08
192,1987,"
        15","
Nick Price
",82,1.767,1709,967,3.14
193,1987,"
        16","
Curtis Strange
",98,1.77,2191,1238,3
194,1987,"
        T17","
Paul Azinger
",95,1.771,2109,1191,3.04
195,1987,"
        T17","
Brad Faxon
",91,1.771,1865,1053,3.04
196,1987,"
        19","
Willie Wood
",97,1.772,1970,1112,2.93
197,1987,"
        T20","
Chip Beck
",92,1.773,1959,1105,3.06
