stat_id,year,player_id,events,rounds_total,rounds_measured,sg_total_avg_m,sg_total,sg_tee2green_avg_m,sg_tee2green_total,sg_putting_avg_m,sg_putting_total,sg_app_green_avg_m,sg_app_green_total,sg_off_tee_avg_m,sg_off_tee_total,sg_approach_avg_m,sg_around_green_avg_m,app_avg_proximity,app_total_distance,app_attempts,avg_score_stroke_differential,avg_score_player,avg_score_field,finish_top_10,finish_1st,finish_2nd,finish_3rd,distance_measured_avg,distance_measured_total,distance_measured_num_drives,distance_all_rank_total,distance_all_avg,distance_all_total,distance_all_num_drives,fairway_accuracy_percent,fairways_hit,fairways_possible,fairways_missed_other_percent,fairways_missed_other_total,fairways_missed_other_possible,fairways_missed_other_relative_to_par,total_putting
51,1980,1443,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,0,250.1,41519,166,NULL,NULL,NULL,NULL,74.7,886,1186,NULL,NULL,NULL,NULL,NULL
52,1980,1821,NULL,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,0,1,258.2,45179,175,NULL,NULL,NULL,NULL,57.09,717,1256,NULL,NULL,NULL,NULL,NULL
53,1980,2098,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,1,0,245.8,41545,169,NULL,NULL,NULL,NULL,70.15,839,1196,NULL,NULL,NULL,NULL,NULL
54,1980,2099,NULL,108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,1,0,246.9,52100,211,NULL,NULL,NULL,NULL,64.15,970,1512,NULL,NULL,NULL,NULL,NULL
55,1980,2160,NULL,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,0,0,250.2,54535,218,NULL,NULL,NULL,NULL,61.31,943,1538,NULL,NULL,NULL,NULL,NULL
56,1980,2267,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,1,0,245.1,45101,184,NULL,NULL,NULL,NULL,71.37,925,1296,NULL,NULL,NULL,NULL,NULL
57,1980,1033,NULL,112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,249.6,53662,215,NULL,NULL,NULL,NULL,61.72,956,1549,NULL,NULL,NULL,NULL,NULL
58,1980,1057,NULL,107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,1,257.5,53304,207,NULL,NULL,NULL,NULL,70.84,1047,1478,NULL,NULL,NULL,NULL,NULL
59,1980,1143,NULL,113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,261.5,57529,220,NULL,NULL,NULL,NULL,66.06,1024,1550,NULL,NULL,NULL,NULL,NULL
60,1980,1205,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1,1,1,256.7,46968,183,NULL,NULL,NULL,NULL,61.31,797,1300,NULL,NULL,NULL,NULL,NULL
61,1980,1305,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,255.8,47575,186,NULL,NULL,NULL,NULL,62.16,818,1316,NULL,NULL,NULL,NULL,NULL
62,1980,1306,NULL,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,258.1,39238,152,NULL,NULL,NULL,NULL,68.59,738,1076,NULL,NULL,NULL,NULL,NULL
63,1980,1363,NULL,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,265.8,53423,201,NULL,NULL,NULL,NULL,61.76,877,1420,NULL,NULL,NULL,NULL,NULL
64,1980,1438,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,1,251.4,41224,164,NULL,NULL,NULL,NULL,61.18,728,1190,NULL,NULL,NULL,NULL,NULL
65,1980,1469,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1,1,0,260.5,48194,185,NULL,NULL,NULL,NULL,64.56,847,1312,NULL,NULL,NULL,NULL,NULL
66,1980,1477,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1,0,1,258,44374,172,NULL,NULL,NULL,NULL,66.17,792,1197,NULL,NULL,NULL,NULL,NULL
67,1980,1495,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,247.1,42008,170,NULL,NULL,NULL,NULL,63.19,757,1198,NULL,NULL,NULL,NULL,NULL
68,1980,1736,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,252.9,35402,140,NULL,NULL,NULL,NULL,62.42,618,990,NULL,NULL,NULL,NULL,NULL
69,1980,1866,NULL,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,2,0,260.9,28436,109,NULL,NULL,NULL,NULL,69.13,542,784,NULL,NULL,NULL,NULL,NULL
70,1980,1869,NULL,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,2,1,0,269,26091,97,NULL,NULL,NULL,NULL,71.57,491,686,NULL,NULL,NULL,NULL,NULL
71,1980,1955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,1980,2015,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,255.6,42178,165,NULL,NULL,NULL,NULL,58.97,651,1104,NULL,NULL,NULL,NULL,NULL
73,1980,2118,NULL,113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,270.3,58115,215,NULL,NULL,NULL,NULL,57.99,907,1564,NULL,NULL,NULL,NULL,NULL
74,1980,2252,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,0,255.5,41385,162,NULL,NULL,NULL,NULL,65.65,751,1144,NULL,NULL,NULL,NULL,NULL
75,1980,1017,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,0,246.5,41164,167,NULL,NULL,NULL,NULL,65.35,775,1186,NULL,NULL,NULL,NULL,NULL
76,1980,1051,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,1980,1215,NULL,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,1,0,259.8,42869,165,NULL,NULL,NULL,NULL,65.8,783,1190,NULL,NULL,NULL,NULL,NULL
78,1980,1219,NULL,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,0,250.2,46284,185,NULL,NULL,NULL,NULL,69.5,900,1295,NULL,NULL,NULL,NULL,NULL
79,1980,1242,NULL,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,0,257.2,50403,196,NULL,NULL,NULL,NULL,58.33,805,1380,NULL,NULL,NULL,NULL,NULL
80,1980,1342,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,0,261,31580,121,NULL,NULL,NULL,NULL,61.18,539,881,NULL,NULL,NULL,NULL,NULL
81,1980,1576,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,1,0,248.7,23879,96,NULL,NULL,NULL,NULL,65.92,443,672,NULL,NULL,NULL,NULL,NULL
82,1980,1597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,1980,1641,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,0,248.9,46294,186,NULL,NULL,NULL,NULL,63.33,822,1298,NULL,NULL,NULL,NULL,NULL
