c_stat_id,player_id,tour,year,season,events,wins,seconds,thirds,top_10,top_25,cuts_made,earnings
118,22046,R,2013,2013,19,0,1,0,1,1,9,892920
119,22046,R,2012,2012,20,0,0,0,1,10,18,1255223
120,22046,R,2011,2011,21,0,0,1,4,9,14,1916994
121,22046,R,2010,2010,19,1,1,0,2,7,13,2393045
122,22046,R,2009,2009,20,2,0,0,5,10,18,3866270
123,22046,R,2008,2008,20,1,1,0,6,8,14,2880099
124,22046,R,2007,2007,22,0,1,1,7,13,19,2943203
125,22046,R,2006,2006,20,2,1,0,5,13,17,4354969
126,22046,R,2005,2005,26,1,0,1,5,9,22,1931676
127,22046,R,2004,2004,26,0,0,0,4,14,19,1236910
128,22046,R,2003,2003,26,0,1,1,7,10,16,1477246
129,22046,R,2002,2002,27,0,1,0,3,4,17,957184
130,22046,R,2001,2001,23,0,1,1,2,4,7,525338
131,22046,R,1999,1999,1,0,0,0,0,0,0,0
132,58164,R,2023,2022-23,1,0,0,0,0,0,0,0
133,6373,R,2022,2021-22,1,0,0,0,0,0,0,0
134,6373,R,2021,2020-21,2,0,0,0,0,0,1,28635
135,6373,R,2019,2018-19,1,0,0,0,0,0,0,0
136,6373,R,2018,2017-18,1,0,0,0,0,0,0,0
137,6373,R,2017,2016-17,1,0,0,0,0,0,0,0
138,6373,R,2015,2014-15,1,0,0,0,0,0,0,0
139,6373,R,2014,2013-14,1,0,0,0,0,0,1,48600
140,6373,R,2013,2013,2,0,0,0,0,0,1,19480
141,6373,R,2012,2012,5,0,0,0,0,0,2,18677
142,6373,R,2011,2011,6,0,0,0,0,0,1,6330
143,6373,R,2009,2009,4,0,0,0,1,1,3,239629
144,6373,R,2008,2008,4,0,0,0,0,0,2,60200
145,6373,R,2007,2007,16,0,0,1,1,4,11,979249
146,6373,R,2006,2006,18,0,2,1,4,10,14,2120422
147,6373,R,2005,2005,16,0,1,2,6,8,14,1764227
148,6373,R,2004,2004,17,0,0,0,1,4,11,495050
149,6373,R,2003,2003,16,0,0,0,2,3,9,479155
150,6373,R,2002,2002,20,1,0,1,7,7,16,1987027
151,6373,R,2001,2001,15,0,0,0,0,5,10,458678
152,6373,R,2000,2000,12,0,0,0,2,5,7,320971
153,6373,R,1999,1999,13,1,0,0,3,4,8,865167
154,6373,R,1998,1998,7,0,0,0,0,6,6,208486
155,6373,R,1997,1997,6,0,0,0,1,4,5,173589
156,6373,R,1995,1995,10,0,0,0,2,4,8,213415
157,6373,R,1994,1994,8,2,1,0,4,6,6,969900
158,6373,R,1993,1993,6,0,0,0,1,1,3,60160
159,6373,R,1992,1992,8,0,0,0,1,1,5,63429
160,6373,R,1991,1991,7,1,1,0,3,3,5,382124
161,6373,R,1990,1990,8,1,0,0,4,7,7,337837
162,6373,R,1989,1989,4,0,0,0,2,2,3,56039
163,6373,R,1987,1987,5,0,0,0,0,0,3,7470
164,6373,R,1985,1985,1,0,0,0,0,0,0,0
165,33968,R,2022,2021-22,2,0,0,0,0,0,1,58100
166,33968,R,2019,2018-19,11,0,0,0,1,2,8,199623
167,33968,R,2018,2017-18,5,0,0,1,1,2,4,177067
168,33968,R,2017,2016-17,6,0,0,0,1,1,4,56625
169,33968,R,2016,2015-16,5,0,0,0,0,1,2,146000
170,33968,R,2015,2014-15,1,0,0,0,1,1,1,213667
171,33968,R,2014,2013-14,14,0,0,0,1,1,6,335222
172,33968,R,2013,2013,11,0,0,0,2,3,6,513700
173,33968,R,2012,2012,2,0,0,0,1,1,2,176243
174,33968,R,2011,2011,1,0,0,0,0,0,0,0
175,55623,R,2023,2022-23,2,0,0,0,0,0,1,18040
176,26329,R,2022,2021-22,12,0,0,0,0,2,8,443897
177,26329,R,2021,2020-21,21,0,4,2,8,14,20,6306679
178,26329,R,2020,2019-20,13,0,0,1,2,4,11,1312138
179,26329,R,2019,2018-19,19,0,1,0,5,10,16,2539183
180,26329,R,2018,2017-18,17,0,0,1,3,9,14,1731493
181,26329,R,2017,2016-17,18,0,2,1,4,9,17,3105422
182,26329,R,2016,2015-16,17,0,1,0,3,11,13,2422079
183,26329,R,2015,2014-15,20,0,2,0,6,10,16,3251174
184,26329,R,2014,2013-14,16,0,0,0,1,5,10,946134
185,26329,R,2013,2013,12,0,0,0,1,4,6,497408
186,26329,R,2012,2012,19,0,2,1,5,12,15,3460995
187,26329,R,2011,2011,15,0,0,0,2,4,10,717965
188,26329,R,2010,2010,5,1,0,0,2,2,2,1305593
189,26329,R,2009,2009,6,0,0,0,0,1,3,12660
190,26329,R,2008,2008,3,0,0,0,0,0,2,13700
191,26329,R,2007,2007,1,0,0,0,0,0,1,45000
192,26329,R,2006,2006,2,0,0,0,0,0,1,61000
193,26329,R,2004,2004,1,0,0,0,0,0,0,0
194,26341,R,2021,2020-21,3,0,0,0,0,0,3,43883
195,26341,R,2018,2017-18,2,0,0,0,0,0,2,129750
196,26341,R,2017,2016-17,1,0,0,0,0,0,0,0
197,26341,R,2014,2013-14,1,0,0,0,0,0,1,14070
198,33667,R,2022,2021-22,20,0,1,0,1,2,11,1087463
199,33667,R,2021,2020-21,28,1,0,0,3,7,20,2682104
200,33667,R,2020,2019-20,22,0,1,0,3,6,14,1631474
201,33667,R,2019,2018-19,28,0,0,1,3,4,14,1073962
202,33667,R,2018,2017-18,1,0,0,0,0,0,1,20789
203,33667,R,2017,2016-17,1,0,0,0,0,0,1,15820
204,33667,R,2016,2015-16,29,0,0,0,0,1,10,263466
205,33667,R,2015,2014-15,30,0,0,0,1,9,20,964137
206,33667,R,2014,2013-14,1,0,0,0,0,0,1,12834
207,34575,R,2022,2021-22,1,0,0,0,0,0,1,37200
208,34575,R,2021,2020-21,1,0,0,0,0,0,0,0
209,34575,R,2019,2018-19,4,0,0,0,0,0,2,99500
210,34575,R,2018,2017-18,1,0,0,0,0,0,1,20100
211,31016,R,2023,2022-23,1,0,0,0,0,0,1,17820
212,31016,R,2022,2021-22,1,0,0,0,0,0,1,50098
213,31016,R,2020,2019-20,1,0,0,0,0,0,1,24687
214,28475,R,2022,2021-22,1,0,0,0,0,0,0,0
215,28475,R,2017,2016-17,1,0,0,0,0,0,0,0
216,28475,R,2016,2015-16,25,0,0,0,1,2,12,410246
217,28475,R,2015,2014-15,30,0,0,0,1,1,17,561614
218,28475,R,2014,2013-14,24,0,0,0,3,6,17,1115467
219,28475,R,2013,2013,24,0,0,0,2,2,17,721723
220,28475,R,2012,2012,29,0,0,0,4,11,22,1563670
221,28475,R,2011,2011,26,0,0,1,4,5,21,1290962
222,28475,R,2010,2010,26,0,3,2,6,10,18,3456356
223,28475,R,2009,2009,28,0,0,0,3,10,20,1193346
224,28475,R,2008,2008,32,0,0,0,3,7,20,890489
225,28475,R,2007,2007,19,0,1,0,3,6,11,1009630
226,28475,R,2006,2006,28,0,0,0,2,5,19,577132
227,28475,R,2005,2005,1,0,0,0,0,0,0,0
228,59160,R,2023,2022-23,2,0,0,0,0,0,0,0
229,59160,R,2022,2021-22,5,0,0,0,0,0,1,28170
230,59160,R,2021,2020-21,6,0,0,0,0,0,1,15225
231,59160,R,2021,2020-21,1,0,0,0,0,0,1,15225
232,23320,R,2023,2022-23,9,0,0,0,0,0,4,154701
233,23320,R,2022,2021-22,22,0,0,0,1,6,13,1167801
234,23320,R,2021,2020-21,23,0,1,0,4,8,18,2276042
235,23320,R,2020,2019-20,19,0,1,0,5,11,15,2724926
236,23320,R,2019,2018-19,21,1,0,1,6,8,15,2873316
237,23320,R,2018,2017-18,22,0,1,0,3,6,13,1484445
238,23320,R,2017,2016-17,20,0,0,0,3,4,10,772560
239,23320,R,2016,2015-16,23,0,0,1,3,10,20,1794141
240,23320,R,2015,2014-15,22,0,1,0,5,11,18,1974523
241,23320,R,2014,2013-14,23,0,2,0,8,10,20,2924300
242,23320,R,2013,2013,22,0,0,0,4,6,17,1521592
243,23320,R,2012,2012,24,0,0,1,4,10,16,1501215
244,23320,R,2011,2011,24,0,1,0,3,8,18,1850530
245,23320,R,2010,2010,27,1,1,0,5,9,15,2985296
246,23320,R,2009,2009,26,0,0,0,1,4,13,454510
247,23320,R,2008,2008,22,1,0,0,3,7,12,1453183
248,23320,R,2007,2007,30,0,0,1,1,1,15,524988
249,23320,R,2006,2006,30,0,1,0,4,8,20,1092853
250,23320,R,2005,2005,32,0,1,2,3,7,18,1280002
251,23320,R,2004,2004,33,1,1,0,2,6,18,1592344
252,23320,R,2002,2002,1,0,0,0,0,0,0,0
253,23320,R,1998,1998,1,0,0,0,0,0,0,0
254,20572,R,2021,2020-21,1,0,0,0,0,0,0,0
255,20572,R,2020,2019-20,4,0,0,0,0,0,1,18338
256,20572,R,2019,2018-19,22,0,0,0,0,0,5,102127
257,20572,R,2018,2017-18,20,0,0,0,0,0,11,183806
258,20572,R,2017,2016-17,22,1,0,0,1,2,13,1539422
259,20572,R,2016,2015-16,18,0,0,0,0,0,9,142433
260,20572,R,2015,2014-15,10,0,0,0,1,2,6,189055
261,20572,R,2014,2013-14,7,0,0,0,1,1,4,154051
262,20572,R,2013,2013,16,0,0,0,0,0,7,110451
263,20572,R,2012,2012,26,0,0,0,1,4,17,620893
264,20572,R,2011,2011,21,0,0,0,2,6,14,668768
265,20572,R,2010,2010,26,0,0,0,0,2,12,299264
266,20572,R,2009,2009,23,0,0,0,3,7,15,956897
267,20572,R,2008,2008,28,0,1,1,5,10,14,1702952
268,20572,R,2007,2007,25,0,0,1,2,9,22,1475970
269,20572,R,2006,2006,24,1,0,1,6,9,21,2664673
270,20572,R,2005,2005,26,0,0,0,6,10,21,1613815
271,20572,R,2004,2004,26,1,0,0,2,10,22,1737725
272,20572,R,2003,2003,27,0,0,1,5,9,16,1064974
273,20572,R,2002,2002,29,0,0,0,3,11,19,776903
274,20572,R,2001,2001,1,0,0,0,0,0,0,0
275,20572,R,1999,1999,6,0,0,0,0,0,3,17476
276,29908,R,2023,2022-23,5,0,0,0,0,0,4,74141
277,29908,R,2022,2021-22,24,0,0,0,2,6,17,1313259
278,29908,R,2021,2020-21,27,0,0,1,2,5,14,1227777
279,29908,R,2020,2019-20,19,0,0,0,0,1,9,329997
280,29908,R,2019,2018-19,25,1,0,1,2,6,17,2362399
281,29908,R,2018,2017-18,30,0,1,0,2,10,22,1881787
282,29908,R,2017,2016-17,29,0,1,0,3,4,14,1267649
283,29908,R,2015,2014-15,2,0,0,0,0,1,2,65056
284,29908,R,2014,2013-14,1,0,0,0,0,0,0,0
285,29908,R,2013,2013,1,0,0,0,0,0,1,0
286,29908,R,2011,2011,1,0,0,0,0,0,0,0
287,32797,R,2023,2022-23,1,0,0,0,0,0,1,24010
288,32797,R,2020,2019-20,2,0,0,0,0,0,2,37245
289,32797,R,2019,2018-19,5,0,0,0,0,1,5,158778
290,32797,R,2018,2017-18,1,0,0,0,0,0,0,0
291,40250,R,2023,2022-23,9,0,0,0,1,2,8,552006
292,40250,R,2022,2021-22,21,0,1,0,3,9,16,2330840
293,40250,R,2021,2020-21,6,0,0,0,0,3,5,271959
294,40250,R,2019,2018-19,1,0,0,0,0,0,0,0
295,40250,R,2015,2014-15,1,0,0,0,0,0,0,0
296,40250,R,2014,2013-14,1,0,0,0,0,0,1,0
297,34709,R,2021,2020-21,1,0,0,0,0,0,0,0
298,34709,R,2019,2018-19,9,0,0,1,1,2,8,889686
299,34709,R,2018,2017-18,2,0,0,0,1,1,2,348317
300,34709,R,2017,2016-17,1,0,0,0,0,1,1,156809
301,34709,R,2015,2014-15,2,0,0,0,0,0,1,29227
302,34709,R,2013,2013,1,0,0,0,0,0,0,0
303,22056,R,2023,2022-23,6,0,0,0,0,2,3,271856
304,22056,R,2022,2021-22,17,0,0,0,3,3,8,576053
305,22056,R,2021,2020-21,27,0,0,0,2,5,17,784607
306,22056,R,2020,2019-20,17,0,0,0,1,3,8,470679
307,22056,R,2018,2017-18,16,0,0,0,2,2,11,387612
308,22056,R,2017,2016-17,23,0,0,0,1,6,14,623694
309,22056,R,2016,2015-16,15,0,0,0,0,2,10,313456
310,22056,R,2015,2014-15,23,0,0,0,1,4,13,575943
311,22056,R,2013,2013,21,0,0,0,0,1,13,277336
312,22056,R,2011,2011,12,0,0,0,1,3,7,290319
313,22056,R,2010,2010,25,0,1,0,1,3,11,620262
314,22056,R,2003,2003,1,0,0,0,0,0,0,0
315,47529,R,2023,2022-23,3,0,0,0,1,2,3,508784
316,47529,R,2022,2021-22,27,0,0,2,3,8,18,2797925
317,47529,R,2021,2020-21,7,0,0,0,2,2,4,370348
318,47529,R,2019,2018-19,1,0,0,0,0,0,0,0
319,47529,R,2018,2017-18,1,0,0,0,0,0,0,0
320,24361,R,2022,2021-22,19,0,0,0,2,3,12,1071981
321,24361,R,2021,2020-21,32,0,0,0,2,7,21,1200834
322,24361,R,2020,2019-20,18,0,0,1,2,4,12,1010905
323,24361,R,2019,2018-19,21,0,0,0,3,4,13,1103241
324,24361,R,2018,2017-18,23,1,1,0,4,7,19,2962641
325,24361,R,2017,2016-17,26,1,1,1,6,14,22,4361400
326,24361,R,2016,2015-16,11,0,0,0,0,0,3,47840
327,24361,R,2015,2014-15,26,0,0,0,2,11,22,1588664
328,24361,R,2014,2013-14,25,0,1,0,3,7,18,1315080
329,24361,R,2013,2013,22,0,0,0,4,6,14,974800
330,24361,R,2012,2012,23,0,0,0,1,9,18,1064053
331,24361,R,2011,2011,24,0,1,0,4,7,15,1295253
332,24361,R,2010,2010,27,0,0,0,3,7,18,947588
333,24361,R,2009,2009,22,1,0,0,2,6,16,1720360
334,24361,R,2008,2008,27,0,0,0,6,12,21,1756038
335,24361,R,2007,2007,27,0,0,1,6,11,16,1678295
336,24361,R,2006,2006,19,0,0,1,1,4,9,719507
337,24361,R,2005,2005,28,0,0,0,4,9,18,1258087
338,24361,R,2004,2004,32,0,0,1,1,7,18,723724
339,24361,R,2003,2003,33,0,0,0,2,5,16,578141
340,24361,R,2002,2002,30,0,2,0,6,10,14,1451726
341,47679,R,2022,2021-22,5,0,0,0,0,0,2,77564
342,47679,R,2021,2020-21,12,0,0,0,2,2,6,392391
343,47679,R,2020,2019-20,7,0,0,0,1,2,4,94571
344,25345,R,2022,2021-22,1,0,0,0,0,0,0,0
345,25345,R,2021,2020-21,5,0,0,0,0,0,0,0
346,25345,R,2020,2019-20,2,0,0,0,0,0,1,43245
347,25345,R,2019,2018-19,1,0,0,0,0,0,0,0
348,25345,R,2018,2017-18,10,0,0,0,0,0,0,0
349,25345,R,2017,2016-17,27,0,0,0,0,1,6,164621
350,25345,R,2016,2015-16,22,0,0,0,0,0,5,66986
351,25345,R,2015,2014-15,32,0,0,0,3,5,21,1186763
352,25345,R,2014,2013-14,28,0,0,1,4,8,17,1348393
353,25345,R,2013,2013,24,0,0,0,1,3,19,738143
354,25345,R,2012,2012,26,1,2,1,6,10,20,3538656
355,25345,R,2011,2011,27,0,0,0,5,9,21,1540723
356,25345,R,2010,2010,29,1,0,0,4,7,20,1934465
357,25345,R,2009,2009,29,0,0,0,1,3,15,564605
358,25345,R,2008,2008,29,1,0,0,5,14,25,2512538
359,25345,R,2007,2007,31,0,0,0,6,13,25,2040938
360,25345,R,2006,2006,28,1,0,0,6,12,20,2647982
361,25345,R,2005,2005,34,1,1,0,3,9,20,1993851
362,25345,R,2004,2004,28,0,0,1,7,11,22,1367962
363,25345,R,2003,2003,26,0,1,0,1,6,15,977076
364,25345,R,2002,2002,3,0,0,0,0,0,2,21728
365,25818,R,2023,2022-23,13,0,0,0,0,2,6,393460
366,25818,R,2022,2021-22,28,0,0,0,1,6,14,1030752
367,25818,R,2021,2020-21,26,0,0,1,1,7,17,1071702
368,25818,R,2020,2019-20,19,0,0,0,1,4,14,809871
369,25818,R,2019,2018-19,24,0,1,1,6,11,21,2679915
370,25818,R,2018,2017-18,26,1,0,0,2,8,17,1882337
371,25818,R,2017,2016-17,22,0,0,1,4,6,14,1317452
372,25818,R,2016,2015-16,24,0,2,0,3,12,20,2905349
373,25818,R,2015,2014-15,28,1,1,1,5,9,18,2780027
374,25818,R,2014,2013-14,12,0,0,0,0,4,7,411635
375,25818,R,2013,2013,24,0,0,1,4,9,16,1830084
376,25818,R,2012,2012,28,1,0,1,4,14,19,2699205
377,25818,R,2011,2011,23,1,0,0,3,5,16,1250957
378,25818,R,2010,2010,28,0,0,0,2,6,15,676432
379,25818,R,2009,2009,28,0,0,0,2,8,16,1032716
380,25818,R,2008,2008,2,0,0,0,0,0,1,7630
381,25818,R,2007,2007,6,0,0,0,0,0,0,0
382,25818,R,2006,2006,6,0,0,0,0,1,4,132042
383,25818,R,2005,2005,4,0,0,0,0,0,3,47140
384,25818,R,2004,2004,1,0,0,0,0,0,0,0
385,25818,R,2003,2003,1,0,0,0,0,0,0,0
386,1955,R,2009,2009,1,0,0,0,0,0,0,0
387,1955,R,2008,2008,1,0,0,0,0,0,0,0
388,1955,R,2007,2007,1,0,0,0,0,0,0,0
389,1955,R,2006,2006,1,0,0,0,0,0,0,0
390,1955,R,2005,2005,1,0,0,0,0,0,0,0
391,1955,R,2004,2004,1,0,0,0,0,0,0,0
392,1955,R,2003,2003,1,0,0,0,0,0,0,0
393,1955,R,2002,2002,1,0,0,0,0,0,0,0
394,1955,R,2001,2001,2,0,0,0,0,0,0,0
395,1955,R,2000,2000,2,0,0,0,0,0,0,0
396,1955,R,1999,1999,2,0,0,0,0,0,0,0
397,1955,R,1998,1998,2,0,0,0,0,0,1,11200
398,1955,R,1997,1997,2,0,0,0,0,0,0,0
399,1955,R,1996,1996,2,0,0,0,0,0,0,0
400,1955,R,1995,1995,2,0,0,0,0,0,1,7935
401,1955,R,1994,1994,1,0,0,0,0,0,0,0
402,1955,R,1993,1993,1,0,0,0,0,0,1,3700
403,1955,R,1992,1992,1,0,0,0,0,0,0,0
404,1955,R,1991,1991,1,0,0,0,0,0,0,0
405,1955,R,1990,1990,1,0,0,0,0,1,1,11000
406,1955,R,1989,1989,2,0,0,0,0,0,0,0
407,1955,R,1988,1988,2,0,0,0,0,0,0,0
408,1955,R,1987,1987,1,0,0,0,0,0,1,4257
409,1955,R,1986,1986,1,0,0,0,0,0,0,0
410,1955,R,1985,1985,8,0,0,0,0,1,4,11032
411,1955,R,1984,1984,13,0,1,0,1,5,10,93258
412,1955,R,1983,1983,11,0,0,0,0,2,9,20567
413,1955,R,1982,1982,11,0,0,0,0,3,6,22059
414,1955,R,1981,1981,15,0,0,0,0,3,9,22483
415,1955,R,1980,1980,11,0,0,1,3,4,10,45471
416,1955,R,1979,1979,10,0,2,0,3,6,7,74482
417,1955,R,1978,1978,19,3,0,0,7,10,17,177336
418,1955,R,1977,1977,17,0,2,0,8,12,17,112485
419,1955,R,1976,1976,17,0,0,1,4,10,15,53669
420,1955,R,1975,1975,15,0,2,0,4,8,14,73943
421,1955,R,1974,1974,14,3,0,0,5,10,13,105986
422,1955,R,1973,1973,10,1,0,0,3,7,9,47752
423,1955,R,1972,1972,15,2,1,0,8,13,15,118041
424,1955,R,1971,1971,14,2,2,1,8,8,14,119355
425,1955,R,1970,1970,17,1,1,2,8,12,15,99267
426,1955,R,1969,1969,16,1,3,3,10,13,16,122884
427,1955,R,1968,1968,16,1,1,0,12,14,15,48828
428,1955,R,1967,1967,14,0,1,2,8,12,14,55821
429,1955,R,1966,1966,11,0,0,2,4,7,10,26391
430,1955,R,1965,1965,13,1,2,0,7,10,12,69964
431,1955,R,1964,1964,17,2,1,2,9,14,17,61450
432,1955,R,1963,1963,22,1,6,1,18,21,22,55455
433,1955,R,1962,1962,17,1,2,2,10,15,17,45838
434,1955,R,1961,1961,28,3,2,4,20,25,28,64540
435,1955,R,1960,1960,13,0,1,0,5,13,13,13879
436,1955,R,1959,1959,9,1,1,0,2,5,9,5694
437,1955,R,1958,1958,14,1,2,0,9,11,13,18591
438,1955,R,1957,1957,9,0,0,1,1,6,9,3683
439,25240,R,2023,2022-23,2,0,0,0,0,0,0,0
440,25240,R,2022,2021-22,11,0,0,0,0,0,4,45522
441,25240,R,2021,2020-21,18,0,0,0,0,0,2,26865
442,25240,R,2020,2019-20,6,0,0,0,0,0,0,0
443,25240,R,2019,2018-19,13,0,0,0,0,0,3,43246
444,25240,R,2018,2017-18,25,0,0,0,1,1,6,377265
445,25240,R,2017,2016-17,22,1,0,0,1,3,12,893700
446,25240,R,2016,2015-16,18,0,0,0,0,3,11,305250
