win_id,cal_year,player_id,winner,wins,team_wins
128,1962,1359,Doug Ford,2,NULL
129,1962,2042,Doug Sanders,3,NULL
130,1962,1273,Gardner Dickinson,1,NULL
131,1962,1955,Gary Player,1,NULL
132,1962,1695,Gene Littler,2,NULL
133,1962,1869,Jack Nicklaus,3,NULL
134,1962,1240,Jacky Cupit,1,NULL
135,1962,5096,Joe Campbell,1,NULL
136,1962,5023,John Barnum,1,NULL
137,1962,1962,Johnny Pott,1,NULL
138,1962,1505,Lionel Hebert,1,NULL
139,1962,2014,Phil Rodgers,2,NULL
140,1962,1653,Ted Kroll,1,NULL
141,1962,1570,Tommy Jacobs,1,NULL
142,1962,6,Tony Lema,3,NULL
143,1963,1401,Al Geiberger,1,NULL
144,1963,1910,Arnold Palmer,7,NULL
145,1963,1177,Billy Casper,2,NULL
146,1963,5,Bo Wininger,1,NULL
147,1963,1189,Bob Charles,2,NULL
148,1963,1867,Bobby Nichols,1,NULL
149,1963,2015,Chi Chi Rodriguez,1,NULL
150,1963,6410,Dan Sikes,1,NULL
151,1963,1519,Dave Hill,1,NULL
152,1963,1325,Don Fairfield,1,NULL
153,1963,1576,Don January,1,NULL
154,1963,1359,Doug Ford,1,NULL
155,1963,2042,Doug Sanders,1,NULL
156,1963,1345,Dow Finsterwald,1,NULL
157,1963,1069,Frank Beard,1,NULL
158,1963,1955,Gary Player,1,NULL
159,1963,1124,Gay Brewer,1,NULL
160,1963,1640,George Knudson,1,NULL
161,1963,13668,Jack Burke Jr,1,NULL
162,1963,1869,Jack Nicklaus,5,NULL
163,1963,5539,Jack Rule,1,NULL
164,1963,1055,Jerry Barber,1,NULL
165,1963,1962,Johnny Pott,1,NULL
166,1963,1108,Julius Boros,3,NULL
167,1963,2032,Mason Rudolph,1,NULL
168,1963,2014,Phil Rodgers,1,NULL
169,1963,1355,Raymond Floyd,1,NULL
170,1963,5027,Rex Baxter,1,NULL
171,1963,1570,Tommy Jacobs,1,NULL
172,1963,6,Tony Lema,1,NULL
173,1964,1084,Al Besselink,1,NULL
174,1964,1910,Arnold Palmer,2,NULL
175,1964,2247,Art Wall,1,NULL
176,1964,1177,Billy Casper,4,NULL
177,1964,1772,Bob McCallister,1,NULL
178,1964,1867,Bobby Nichols,2,NULL
179,1964,1233,Bruce Crampton,1,NULL
180,1964,1269,Bruce Devlin,1,NULL
181,1964,1215,Charles Coody,1,NULL
182,1964,2015,Chi Chi Rodriguez,2,NULL
