Course_ID,Course,City,State,Country
138,Griffith Park (Harding),Los Angeles,CA,USA
139,Griffith Park (Wilson),Los Angeles,CA,USA
140,Hamilton Golf & Country Club,Ancaster,NULL,Canada
141,Harbour Town Golf Links,Hilton Head Island,SC,USA
142,Harding Park Golf Club,San Francisco,CA,USA
143,Hattiesburg CC,Hattiesburg,MS,USA
144,Havana CC,Havana,NULL,Cuba
145,Hazeltine National GC,Chaska,MN,USA
146,Hermitage CC,Richmond,VA,USA
147,Hershey CC,Hershey,PA,USA
148,Hesperia Golf & Country Club,Hesperia,CA,USA
149,Highland G&CC,Indianapolis,IN,USA
150,Hillcrest CC,Los Angeles,CA,USA
151,Hinsdale CC,Hinsdale,IL,USA
152,Holston Hills CC,Knoxville,TN,USA
153,Homewood CC,Homewood,IL,USA
154,Hot Springs Country Club (Arlington),Hot Springs,AR,USA
155,Idlewild CC,Flossmoor,IL,USA
156,Indian Ridge CC,Palm Dessert,CA,USA
157,Indian Springs,NULL,MD,USA
158,Indian Wells CC,Indian Wells,CA,USA
159,Indianwood G&CC,Lake Orion,MI,USA
160,Inglewood CC,Inglewood,CA,USA
161,Inglewood Golf Club,Kenmore,WA,USA
162,Innisbrook Resort (Copperhead Course),Palm Harbor,FL,USA
163,Interlachen CC,Edina,MN,USA
164,Inverness GC,Toledo,OH,USA
165,Inverrary G&CC (East),Lauderhill,FL,USA
166,Inwood CC,Inwood,NY,USA
167,Islemere G&CC,Montreal,NULL,Canada
168,Jack Nicklaus Golf Center,Mason,OH,USA
169,TPC San Antonio (Oaks Course),San Antonio,TX,USA
170,Kanawaki GC,Montreal,NULL,Canada
171,Keene Trace Golf Club,Nicholasville,KY,USA
172,Keller GC,St. Paul,MN,USA
173,Kemper Lakes,Long Grove,IL,USA
174,Kent CC,Grand Rapids,MI,USA
175,Kenwood CC,Cincinnati,OH,USA
176,Ocean Course at Kiawah Island,Kiawah Island,SC,USA
177,Killearn G&CC,Tallahassee,FL,USA
178,Kings Inn & Golf Club,Freeport,NULL,Bahamas
179,Kingsmill GC,Kingsmill,VA,USA
180,Knollwood Country Club,West Bloomfield,MI,USA
181,Kuala Lumpur G&CC ,Kuala Lumpur,NULL,Malaysia
182,La Costa Resort and Spa,Carlsbad,CA,USA
183,La Quinta Country Club,La Quinta,CA,USA
184,LaCantera GC (Resort),San Antonio,TX,USA
185,Lacayan Country Club,Freeport,NULL,Bahamas
186,Lake Buena Vista GC,Lake Buena Vista,FL,USA
187,Lakeview GC,Mississaugua,NULL,Canada
188,Lakewood CC,New Orleans,LA,USA
189,Lambton G&CC,Toronto,NULL,Canada
190,Las Colinas Sports Club,Irving,TX,USA
191,Las Vegas CC,Las Vegas,NV,USA
192,Las Vegas Hilton CC,Las Vegas,NV,USA
193,Laurel Valley CC,Ligonier,PA,USA
194,Le Club Laval-sur-lac,Laval-sur-le-Lac,NULL,Canada
195,Liberty National Golf Club,Jersey City,NJ,USA
196,Llanerch CC,Havertown,PA,USA
197,London Hunt & CC,London,NULL,Canada
198,Los Angeles CC (North),Los Angeles,CA,USA
199,MacGregor Downs Country Club,Cary,NC,USA
200,Magnolia GC,Lake Buena Vista,FL,USA
201,Manito G&CC,Spokane,WA,USA
202,Mayfair CC,Sanford,FL,USA
203,Mayfield CC,Cleveland,OH,USA
204,Meadowbrook CC,Northville,MI,USA
205,Medinah CC (No. 3),Medinah,IL,USA
206,Memorial Park Golf Course,Houston,TX,USA
207,Memphis CC,Memphis,TN,USA
208,Merion GC,Ardome,NV,USA
209,Mesa Verde CC,Costa Mesa,CA,USA
210,Miami Biltmore GC,Coral Gables,FL,USA
211,Miami Valley CC,Dayton,OH,USA
212,Midlothian CC,Blue Island,NC,USA
213,Midlothian CC,Midlothian,IL,USA
214,Milwaukee CC,Milwaukee,WI,USA
215,Minikahda Club,Minneapolis,NC,USA
216,Minneapolis GC,St. Louis Park,MN,USA
217,Mission Hills Golf Club,Guangdong,NULL,China
218,Mission Valley CC,San Diego,CA,USA
219,Mississaugua G&CC,Mississaugua,NULL,Canada
220,Mobile Municipal GC,Mobile,AL,USA
221,Monterey Peninsula Country Club (Shores Course),Pebble Beach,CA,USA
222,Monterey Peninsula Country Club (Dunes Course),Pebble Beach,CA,USA
223,Montreal Municipal GC,Montreal,NULL,Canada
224,Montreux G&CC,Reno,NV,USA
225,Moraine CC,Dayton,OH,USA
226,Mount Juliet,Thomastown,NULL,Ireland
227,Mountain View CC,Corona,CA,USA
228,Mt. Bruno GC,Saint-Bruno-de-Montarville,NULL,Canada
229,Mt. Pleasant Municipal Golf Club,Baltimore,MD,USA
230,Muirfield,Gullane,NULL,Scotland
231,Muirfield Village Golf Club,Dublin,OH,USA
232,Musselburgh Links,Musselburgh,NULL,Scotland
233,Myopia Hunt Club,Hamilton,NC,USA
